GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
299,88,0.83,30,6,4,4,83
305,89,8.86,17,6,4,4,83.6
306,90,8.2,24,6,4,4,77
305,91,0.64,15,6,3,3,64
314,91,7.93,16,6,3,3,74.3
306,92,0.71,36,6,3,3,71
320,93,7.77,9,6.5,3,3,72.7
301,93,0.6523,26,6.5,3,3,65.23
305,95,0.6321,35,6.5,3,3,63.21
305,95,0.55,0,6.5,2,2,55
305,95,7.04,0,6.5,3,3,65.4
305,95,6.69,18,6.5,3,3,61.9
305,95,6.75,16,6.5,3,3,62.5
305,95,7.2,29,6.5,3,3,67
305,95,8.1,0,6.5,4,4,76
305,95,9.37,0,6.5,4,4,88.7
305,95,7.88,1,6.5,3,3,73.8
305,95,0.62,0,6.5,3,3,62
304,95,0.74,24,6.5,3,3,74
305,95,8.08,0,6.5,4,4,75.8
305,95,9.5,36,6.5,5,5,90
305,95,8.5,0,6.5,4,4,80
305,95,0.72,27,6.5,3,3,72
305,95,0.55,16,6.5,2,2,55
314,95,0.8068,48,6.5,4,4,80.68
311,95,0.73,25,6.5,3,3,73
305,95,0.63,1,6.5,3,3,63
305,95,0.653,18,6.5,3,3,65.3
305,95,7.1,0,6.5,3,3,66
313,95,0.75,38,6.5,4,4,75
305,95,0.8,0,6.5,4,4,80
301,95,0.65,74,6.5,3,3,65
306,99,0.74,0,6.5,3,3,74
310,100,8.96,2,6.5,4,4,84.6
319,100,6.74,28,6.5,3,3,62.4
320,100,0.68,0,6.5,3,3,68
311,101,7.74,25,7,3,3,72.4
310,101,0.66,22,7,3,3,66
306,102,0.65,26,7,3,3,65
321,102,7.5,12,7,3,3,70
310,103,7.5,29,7,3,3,70
307,103,8,34,7,4,4,75
306,103,0.6317,27,7,3,3,63.17
315,104,0.77,3,7,4,4,77
314,106,7.63,6,7,3,3,71.3
313,107,0.62,6,7,3,3,62
290,109,7,48,7.5,3,3,65
305,109,8.2,31,7.5,4,4,77
307,109,0.62,1,7.5,3,3,62
322,110,7.6,0,7.5,3,3,71
312,110,8.6,24,7.5,4,4,81
310,110,7.49,0,7.5,3,3,69.9
318,111,6.68,6,7.5,3,3,61.8
315,112,8.3,12,7.5,4,4,78
312,115,0.73,33,8,3,3,73
290,91,7.3,48,6,3,3,68
305,91,5.93,0,6,2,2,54.3
310,92,5.5,0,6,2,2,50
305,92,7.6,0,6,3,3,71
305,95,7.04,0,6.5,3,3,65.4
306,95,0.63,0,6.5,3,3,63
305,95,7.89,17,6.5,3,3,73.9
305,95,0.77,11,6.5,4,4,77
305,95,0.724,67,6.5,3,3,72.4
305,95,7.5,0,6.5,3,3,70
305,95,6.1,0,6.5,2,2,56
305,95,6.34,0,6.5,2,2,58.4
305,95,6.97,9,6.5,3,3,64.7
310,97,0.56,82,6.5,2,2,56
300,97,6.085,6,6.5,2,2,55.85
325,99,5,0,6.5,2,2,45
315,99,0.7342,26,6.5,3,3,73.42
302,100,0.71,0,6.5,3,3,71
308,100,6.47,38,6.5,2,2,59.7
296,100,0.67,41,6.5,3,3,67
306,101,0.7198,48,7,3,3,71.98
301,101,6.35,10,7,2,2,58.5
313,101,0.73,30,7,3,3,73
313,101,0.7364,0,7,3,3,73.64
303,103,9,2,7,4,4,85
305,103,0.81,0,7,4,4,81
316,106,6.75,5,7,3,3,62.5
336,107,6,30,7,2,2,55
309,108,7.5,10,7,3,3,70
305,109,7.35,0,7.5,3,3,68.5
299,109,0.78,0,7.5,4,4,78
310,110,7.49,0,7.5,3,3,69.9
310,112,0.723,22,7.5,3,3,72.3
317,85,8.57,16,6,4,4,80.7
296,91,0.72,20,6,3,3,72
306,93,0.73,0,6.5,3,3,73
305,95,8.78,1,6.5,4,4,82.8
305,95,0.6498,0,6.5,3,3,64.98
313,95,0.798,134,6.5,4,4,79.8
305,95,9.002,0,6.5,4,4,85.02
305,95,7.7,2,6.5,3,3,72
322,95,6.45,1,6.5,2,2,59.5
318,95,8,6,6.5,4,4,75
305,95,8.3,24,6.5,4,4,78
305,95,8.7,60,6.5,4,4,82
331,95,7.54,0,6.5,3,3,70.4
322,95,0.7,60,6.5,3,3,70
316,95,9,12,6.5,4,4,85
318,95,7.71,0,6.5,3,3,72.1
305,95,9.45,24,6.5,4,4,89.5
305,95,0.97,60,6.5,5,5,97
305,95,7,0,6.5,3,3,65
305,95,0.8,0,6.5,4,4,80
317,95,0.74,12,6.5,3,3,74
305,95,7.8,42,6.5,3,3,73
305,95,0.77,15,6.5,4,4,77
305,95,6.1,0,6.5,2,2,56
315,95,0.8,0,6.5,4,4,80
305,95,0.85,28,6.5,4,4,85
313,95,0.75,38,6.5,4,4,75
305,95,8.34,0,6.5,4,4,78.4
305,95,6.93,36,6.5,3,3,64.3
318,97,8.15,6,6.5,4,4,76.5
309,98,0.65,0,6.5,3,3,65
312,98,0.778,31,6.5,4,4,77.8
308,98,0.65,25,6.5,3,3,65
323,99,7.24,2,6.5,3,3,67.4
319,100,0.71,54,6.5,3,3,71
308,100,9.1,21,6.5,4,4,86
320,101,7.2,36,7,3,3,67
315,101,9.81,0,7,5,5,93.1
306,102,0.65,26,7,3,3,65
311,102,0.74,85,7,3,3,74
316,102,7.99,13,7,3,3,74.9
308,102,7.48,15,7,3,3,69.8
316,102,7.58,42,7,3,3,70.8
307,103,8,34,7,4,4,75
300,103,9,30,7,4,4,85
310,103,8.1,1,7,4,4,76
318,103,0.9,27,7,5,5,90
319,104,0.75,36,7,4,4,75
315,104,8.54,30,7,4,4,80.4
319,104,9.39,2,7,4,4,88.9
320,104,0.65,60,7,3,3,65
321,104,0.71,76,7,3,3,71
314,104,0.58,53,7,2,2,58
311,104,8.6,2,7,4,4,81
316,104,8.55,60,7,4,4,80.5
317,104,8.3,23,7,4,4,78
318,104,9.24,16,7,4,4,87.4
326,105,5.8,28,7,2,2,53
314,105,0.79,6,7,4,4,79
322,105,0.67,68,7,3,3,67
317,105,6.33,57,7,2,2,58.3
315,105,9.56,19,7,5,5,90.6
329,105,9.21,13,7,4,4,87.1
320,105,8.1,24,7,4,4,76
321,106,7.79,20,7,3,3,72.9
321,106,0.78,36,7,4,4,78
317,106,8.81,32,7,4,4,83.1
310,107,7.39,14,7,3,3,68.9
320,107,0.69,60,7,3,3,69
325,108,7.32,6,7,3,3,68.2
315,108,0.833,8,7,4,4,83.3
314,108,0.665,24,7,3,3,66.5
314,108,0.771,22,7,4,4,77.1
310,109,9.5,24,7.5,5,5,90
305,109,7.35,0,7.5,3,3,68.5
314,109,0.7582,36,7.5,4,4,75.82
318,109,0.72,60,7.5,3,3,72
319,109,7.97,24,7.5,3,3,74.7
325,109,0.6365,17,7.5,3,3,63.65
321,109,0.83,18,7.5,4,4,83
315,109,0.854,6,7.5,4,4,85.4
305,109,0.86,25,7.5,4,4,86
314,109,0.77,38,7.5,4,4,77
324,109,7.4,21,7.5,3,3,69
314,109,8.6,24,7.5,4,4,81
332,110,8.76,8,7.5,4,4,82.6
322,110,5.66,6,7.5,2,2,51.6
321,110,0.66,46,7.5,3,3,66
312,110,9.09,16,7.5,4,4,85.9
324,110,0.6358,16,7.5,3,3,63.58
312,110,7.62,2,7.5,3,3,71.2
315,110,8.6,3,7.5,4,4,81
322,110,0.7904,27,7.5,4,4,79.04
319,111,9.6,6,7.5,5,5,91
313,111,8.5,31,7.5,4,4,80
320,111,7.98,30,7.5,3,3,74.8
326,111,8.48,24,7.5,4,4,79.8
328,112,0.75,30,7.5,4,4,75
332,112,8.6,15,7.5,4,4,81
317,112,8.72,36,7.5,4,4,82.2
316,112,8.48,21,7.5,4,4,79.8
323,112,0.6621,27,7.5,3,3,66.21
322,113,8.79,6,7.5,4,4,82.9
324,113,0.7804,5,7.5,4,4,78.04
311,113,0.5805,36,7.5,2,2,58.05
319,113,0.734,26,7.5,3,3,73.4
324,113,0.655,0,7.5,3,3,65.5
321,114,7.58,38,8,3,3,70.8
325,115,6.98,25,8,3,3,64.8
323,116,8.38,4,8,4,4,78.8
322,116,8.1,6,8,4,4,76
330,116,8.19,0,8,4,4,76.9
316,116,8.19,3,8,4,4,76.9
334,117,8.21,0,8.5,4,4,77.1
318,118,8.43,30,8.5,4,4,79.3
292,85,7.62,36,6,3,3,71.2
296,86,0.67,30,6,3,3,67
298,86,0.7,7,6,3,3,70
302,86,0.65,28,6,3,3,65
303,90,0.588,0,6,2,2,58.8
302,93,7.75,0,6.5,3,3,72.5
309,93,7.445,4,6.5,3,3,69.45
295,95,9.3,12,6.5,4,4,88
302,95,6.9,40,6.5,3,3,64
305,95,0.76,5,6.5,4,4,76
314,95,7.25,24,6.5,3,3,67.5
309,95,7.3,6,6.5,3,3,68
305,95,6.9,16,6.5,3,3,64
310,95,0.802,0,6.5,4,4,80.2
305,95,0.72,21,6.5,3,3,72
310,96,0.62,57,6.5,3,3,62
305,96,8.4,4,6.5,4,4,79
309,97,6.88,0,6.5,3,3,63.8
308,100,6.47,38,6.5,2,2,59.7
313,100,0.65,12,6.5,3,3,65
308,100,6.79,27,6.5,3,3,62.9
